RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
1,Den,3144,285.8,2168,197.1,976,88.7,207,18.8
2,Min,3349,334.9,2248,224.8,1101,110.1,194,19.4
3,Car,3438,312.5,2462,223.8,976,88.7,205,18.6
4,Bal,3540,354.0,2570,257.0,970,97.0,249,24.9
5,NYJ,3563,323.9,2635,239.5,928,84.4,228,20.7
6,Sea,3574,324.9,2552,232.0,1022,92.9,222,20.2
7,Ari,3590,326.4,2588,235.3,1002,91.1,229,20.8
8,Hou,3598,327.1,2416,219.6,1182,107.5,234,21.3
9,Ten,3650,331.8,2465,224.1,1185,107.7,257,23.4
10,Dal,3652,332.0,2476,225.1,1176,106.9,261,23.7
11,KC,3689,335.4,2634,239.5,1055,95.9,220,20.0
12,Was,3701,370.1,2341,234.1,1360,136.0,267,26.7
13,NYG,3722,338.4,2657,241.5,1065,96.8,234,21.3
14,TB,3727,338.8,2655,241.4,1072,97.5,279,25.4
15,Stl,3751,341.0,2530,230.0,1221,111.0,230,20.9
16,Chi,3774,343.1,2360,214.5,1414,128.5,264,24.0
17,Cin,3777,343.4,2679,243.5,1098,99.8,193,17.5
18,NE,3846,349.6,2779,252.6,1067,97.0,212,19.3
19,Det,3901,354.6,2664,242.2,1237,112.5,288,26.2
20,Buf,3915,355.9,2793,253.9,1122,102.0,257,23.4
21,Jac,3944,358.5,2918,265.3,1026,93.3,299,27.2
22,GB,3976,361.5,2735,248.6,1241,112.8,215,19.5
23,Cle,4073,407.3,2685,268.5,1388,138.8,277,27.7
24,Pit,4150,377.3,3120,283.6,1030,93.6,230,20.9
25,SD,4154,377.6,2793,253.9,1361,123.7,307,27.9
26,Phi,4174,379.5,2781,252.8,1393,126.6,274,24.9
27,Ind,4267,387.9,3001,272.8,1266,115.1,260,23.6
28,Oak,4301,391.0,3110,282.7,1191,108.3,280,25.5
29,Mia,4309,391.7,2786,253.3,1523,138.5,287,26.1
30,SF,4377,397.9,3045,276.8,1332,121.1,271,24.6
31,NO,4605,418.6,3126,284.2,1479,134.5,339,30.8